Transaction ID,Account,Type,Amount,Date,Description
22,97761553,Interest Credit,$ 5313.50,21:53.0,Monthly Interest (2.5%)
23,71572251,Interest Credit,$ 256.25,21:53.0,Monthly Interest (2.5%)
24,79656781,Interest Credit,$ 41.03,21:53.0,Monthly Interest (2.5%)
25,12880537,Interest Credit,$ 256.25,21:53.0,Monthly Interest (2.5%)
26,53563600,Interest Credit,$ 345.94,21:53.0,Monthly Interest (2.5%)
27,57536387,Interest Credit,$ 128125.00,21:53.0,Monthly Interest (2.5%)
28,51118098,Interest Credit,$ 714.32,21:53.0,Monthly Interest (2.5%)
15,97761553,Interest Credit,$ 5183.90,13:32.0,Monthly Interest (2.5%)
16,71572251,Interest Credit,$ 250.00,13:32.0,Monthly Interest (2.5%)
17,79656781,Interest Credit,$ 40.03,13:32.0,Monthly Interest (2.5%)
18,12880537,Interest Credit,$ 250.00,13:32.0,Monthly Interest (2.5%)
19,53563600,Interest Credit,$ 337.50,13:32.0,Monthly Interest (2.5%)
20,57536387,Interest Credit,$ 125000.00,13:32.0,Monthly Interest (2.5%)
21,51118098,Interest Credit,$ 696.90,13:32.0,Monthly Interest (2.5%)
14,51118098,Loan Disbursed,$ 6776.00,01:31.0,Loan Approval Credit
13,51118098,General,$ 5667.00,41:05.0,ATM Withdrawal
12,51118098,General,$ 6767.00,40:53.0,Cash Deposit
11,51118098,Deposit,$ 20000.00,38:56.0,Initial Deposit
10,57536387,Deposit,$ 5000000.00,22:24.0,Initial Deposit
9,53563600,General,$ 500.00,07:26.0,ATM Withdrawal
8,53563600,General,$ 4000.00,07:03.0,Cash Deposit
7,53563600,Deposit,$ 10000.00,05:59.0,Initial Deposit
6,12880537,Deposit,$ 10000.00,31:43.0,Initial Deposit
5,79656781,General,$ 99.00,00:53.0,ATM Withdrawal
4,79656781,General,$ 300.00,45:53.0,ATM Withdrawal
3,79656781,General,$ 2000.00,45:11.0,Cash Deposit
2,Deleted Account,General,$ 200000.00,37:45.0,Transfer to account 1
1,97761553,General,$ 6756.00,34:20.0,Client deposit
